0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,angle,yarnwidth,yarnheight,space,epoxy_e,epoxy_v,epoxy_CLTE,fibre_diameter (mm),fibre_num,fibre_e1,fibre_e2,fibre_e3,fibre_g12,fibre_g23,fibre_g13,fibre_v1,fibre_v2,fibre_v3,fibre_CLTE1,fibre_CLTE2,fibre_CLTE3,E1,E2,E3,G12,G23,G13,v12,v23,v13,CLTE1,CLTE2,CLTE3
0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0.66324547,0.15688654,0.995669261,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41877000000,41859000000,38788000000,14291000000,12141000000,12171000000,0.2801,0.3408,0.3406,2.89E-05,2.90E-05,4.38E-05
1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0.809751863,0.378030689,1.329171632,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40415000000,40371000000,37560000000,13577000000,12428000000,12489000000,0.2853,0.3471,0.3466,3.06E-05,3.07E-05,4.19E-05
1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.529343083,0.328428209,0.821708494,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40763000000,40506000000,38025000000,13373000000,13061000000,13015000000,0.2864,0.346,0.342,3.08E-05,3.10E-05,3.91E-05
1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0.886387453,0.318074835,1.49390432,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40087000000,39959000000,37001000000,13582000000,11971000000,11974000000,0.2855,0.3511,0.3492,3.07E-05,3.08E-05,4.44E-05
1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.360968768,0.365876003,0.672016362,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38280000000,37891000000,36098000000,12310000000,12579000000,12579000000,0.3015,0.3519,0.346,3.39E-05,3.46E-05,3.94E-05
1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0.610080761,0.353823952,0.998809802,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40313000000,40148000000,37552000000,13378000000,12713000000,12763000000,0.2871,0.3476,0.3453,3.09E-05,3.12E-05,4.05E-05
1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0.532721556,0.374003323,1.036151905,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,36546000000,36406000000,34170000000,12015000000,11694000000,11714000000,0.3026,0.3615,0.3593,3.54E-05,3.56E-05,4.37E-05
1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0.771761136,0.133665644,1.37002779,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40219000000,40226000000,37086000000,13854000000,11256000000,11289000000,0.2857,0.3482,0.3484,3.02E-05,3.03E-05,4.83E-05
1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0.677720975,0.300917229,1.288531616,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,37522000000,37517000000,34693000000,12614000000,11419000000,11492000000,0.2939,0.3609,0.3611,3.35E-05,3.37E-05,4.62E-05
1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0.364109168,0.372510701,0.640837262,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,39873000000,39374000000,37761000000,12975000000,13054000000,13083000000,0.2988,0.3435,0.3364,3.20E-05,3.30E-05,3.77E-05
